攻撃の名前,多段ヒットか,攻撃タイプ,威力,攻撃の重さ,アーマー,ノックバックの大きさ,上方向の力,発生フレーム,持続フレーム,半径,長さ,前進速度,前進フレーム,アニメーションの名前,次の攻撃の名前,攻撃の基準位置,キャンセルフレーム,ヒットストップフレーム,ヒットストップの揺れ,ヒットエフェクト,攻撃エフェクト,発生SE,ヒットSE,攻撃ボイス,パラメータ1,パラメータ2,パラメータ3,パラメータ4
Bullet_7,TRUE,2,200,3,2,120,0,60,200,50,45,0,10,Dance1,Bullet_8,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,200
Bullet_8,TRUE,2,200,3,2,120,0,60,200,50,45,0,10,Dance1,Bullet_9,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,290
Bullet_9,TRUE,2,200,3,2,120,0,70,200,50,45,0,10,Dance1,Bullet_10,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,40
Bullet_10,TRUE,2,200,3,2,120,0,70,200,50,45,0,10,Dance1,Bullet_11,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,130
Bullet_11,TRUE,2,200,3,2,120,0,70,200,50,45,0,10,Dance1,Bullet_12,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,220
Bullet_12,TRUE,2,200,3,2,120,0,70,200,50,45,0,10,Dance1,Bullet_13,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,310
Bullet_13,TRUE,2,200,3,2,120,0,80,200,50,45,0,10,Dance1,Bullet_14,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,60
Bullet_14,TRUE,2,200,3,2,120,0,80,200,50,45,0,10,Dance1,Bullet_15,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,150
Bullet_15,TRUE,2,200,3,2,120,0,80,200,50,45,0,10,Dance1,Bullet_16,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,240
Bullet_16,TRUE,2,200,3,2,120,0,80,200,50,45,0,10,Dance1,Bullet_17,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,330
Bullet_17,TRUE,2,200,3,2,120,0,90,200,50,45,0,10,Dance1,Bullet_18,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,80
Bullet_18,TRUE,2,200,3,2,120,0,90,200,50,45,0,10,Dance1,Bullet_19,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,170
Bullet_19,TRUE,2,200,3,2,120,0,90,200,50,45,0,10,Dance1,Bullet_20,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,260
Bullet_20,TRUE,2,200,3,2,120,0,90,200,50,45,0,10,Dance1,Bullet_21,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,350
Bullet_21,TRUE,2,200,3,2,120,0,100,200,50,45,0,10,Dance1,Bullet_22,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,100
Bullet_22,TRUE,2,200,3,2,120,0,100,200,50,45,0,10,Dance1,Bullet_23,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,190
Bullet_23,TRUE,2,200,3,2,120,0,100,200,50,45,0,10,Dance1,Bullet_24,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,280
Bullet_24,TRUE,2,200,3,2,120,0,100,200,50,45,0,10,Dance1,Bullet_25,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,370
Bullet_25,TRUE,2,200,3,2,120,0,110,200,50,45,0,10,Dance1,Bullet_26,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,120
Bullet_26,TRUE,2,200,3,2,120,0,110,200,50,45,0,10,Dance1,Bullet_27,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,210
Bullet_27,TRUE,2,200,3,2,120,0,110,200,50,45,0,10,Dance1,Bullet_28,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,300
Bullet_28,TRUE,2,200,3,2,120,0,110,200,50,45,0,10,Dance1,Bullet_29,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,390
Bullet_29,TRUE,2,200,3,2,120,0,120,200,50,45,0,10,Dance1,Bullet_30,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,140
Bullet_30,TRUE,2,200,3,2,120,0,120,200,50,45,0,10,Dance1,Bullet_31,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,230
Bullet_31,TRUE,2,200,3,2,120,0,120,200,50,45,0,10,Dance1,Bullet_32,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,320
Bullet_32,TRUE,2,200,3,2,120,0,120,200,50,45,0,10,Dance1,Bullet_33,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,410
Bullet_33,TRUE,2,200,3,2,120,0,130,200,50,45,0,10,Dance1,Bullet_34,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,160
Bullet_34,TRUE,2,200,3,2,120,0,130,200,50,45,0,10,Dance1,Bullet_35,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,250
Bullet_35,TRUE,2,200,3,2,120,0,130,200,50,45,0,10,Dance1,Bullet_36,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,340
Bullet_36,TRUE,2,200,3,2,120,0,130,200,50,45,0,10,Dance1,Bullet_37,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,430
Bullet_37,TRUE,2,200,3,2,120,0,140,200,50,45,0,10,Dance1,Bullet_38,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,180
Bullet_38,TRUE,2,200,3,2,120,0,140,200,50,45,0,10,Dance1,Bullet_39,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,270
Bullet_39,TRUE,2,200,3,2,120,0,140,200,50,45,0,10,Dance1,Bullet_40,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,360
Bullet_40,TRUE,2,200,3,2,120,0,140,200,50,45,0,10,Dance1,Bullet_41,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,450
Bullet_41,TRUE,2,200,3,2,120,0,150,200,50,45,0,10,Dance1,Bullet_42,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,200
Bullet_42,TRUE,2,200,3,2,120,0,150,200,50,45,0,10,Dance1,Bullet_43,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,290
Bullet_43,TRUE,2,200,3,2,120,0,150,200,50,45,0,10,Dance1,Bullet_44,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,380
Bullet_44,TRUE,2,200,3,2,120,0,150,200,50,45,0,10,Dance1,Bullet_45,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,470
Bullet_45,TRUE,2,200,3,2,120,0,160,200,50,45,0,10,Dance1,Bullet_46,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,220
Bullet_46,TRUE,2,200,3,2,120,0,160,200,50,45,0,10,Dance1,Bullet_47,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,310
Bullet_47,TRUE,2,200,3,2,120,0,160,200,50,45,0,10,Dance1,Bullet_48,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,400
Bullet_48,TRUE,2,200,3,2,120,0,160,200,50,45,0,10,Dance1,Bullet_49,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,490
Bullet_49,TRUE,2,200,3,2,120,0,170,200,50,45,0,10,Dance1,Bullet_50,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,240
Bullet_50,TRUE,2,200,3,2,120,0,170,200,50,45,0,10,Dance1,Bullet_51,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,330
Bullet_51,TRUE,2,200,3,2,120,0,170,200,50,45,0,10,Dance1,Bullet_52,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,420
Bullet_52,TRUE,2,200,3,2,120,0,170,200,50,45,0,10,Dance1,Bullet_53,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,510
Bullet_53,TRUE,2,200,3,2,120,0,180,200,50,45,0,10,Dance1,Bullet_54,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,260
Bullet_54,TRUE,2,200,3,2,120,0,180,200,50,45,0,10,Dance1,Bullet_55,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,350
Bullet_55,TRUE,2,200,3,2,120,0,180,200,50,45,0,10,Dance1,Bullet_56,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,440
Bullet_56,TRUE,2,200,3,2,120,0,180,200,50,45,0,10,Dance1,Bullet_57,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,530
Bullet_57,TRUE,2,200,3,2,120,0,190,200,50,45,0,10,Dance1,Bullet_58,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,280
Bullet_58,TRUE,2,200,3,2,120,0,190,200,50,45,0,10,Dance1,Bullet_59,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,370
Bullet_59,TRUE,2,200,3,2,120,0,190,200,50,45,0,10,Dance1,Bullet_60,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,460
Bullet_60,TRUE,2,200,3,2,120,0,190,200,50,45,0,10,Dance1,Bullet_61,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,550
Bullet_61,TRUE,2,200,3,2,120,0,200,200,50,45,0,10,Dance1,Bullet_62,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,300
Bullet_62,TRUE,2,200,3,2,120,0,200,200,50,45,0,10,Dance1,Bullet_63,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,390
Bullet_63,TRUE,2,200,3,2,120,0,200,200,50,45,0,10,Dance1,Bullet_64,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,480
Bullet_64,TRUE,2,200,3,2,120,0,200,200,50,45,0,10,Dance1,Bullet_65,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,570
Bullet_65,TRUE,2,200,3,2,120,0,210,200,50,45,0,10,Dance1,Bullet_66,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,320
Bullet_66,TRUE,2,200,3,2,120,0,210,200,50,45,0,10,Dance1,Bullet_67,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,410
Bullet_67,TRUE,2,200,3,2,120,0,210,200,50,45,0,10,Dance1,Bullet_68,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,500
Bullet_68,TRUE,2,200,3,2,120,0,210,200,50,45,0,10,Dance1,Bullet_69,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,590
Bullet_69,TRUE,2,200,3,2,120,0,220,200,50,45,0,10,Dance1,Bullet_70,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,340
Bullet_70,TRUE,2,200,3,2,120,0,220,200,50,45,0,10,Dance1,Bullet_71,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,430
Bullet_71,TRUE,2,200,3,2,120,0,220,200,50,45,0,10,Dance1,Bullet_72,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,520
Bullet_72,TRUE,2,200,3,2,120,0,220,200,50,45,0,10,Dance1,Bullet_73,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,610
Bullet_73,TRUE,2,200,3,2,120,0,230,200,50,45,0,10,Dance1,Bullet_74,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,360
Bullet_74,TRUE,2,200,3,2,120,0,230,200,50,45,0,10,Dance1,Bullet_75,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,450
Bullet_75,TRUE,2,200,3,2,120,0,230,200,50,45,0,10,Dance1,Bullet_76,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,540
Bullet_76,FALSE,2,200,3,2,120,0,230,200,50,45,0,10,Dance1,None,Owner,150,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit3,Attack2,80,10,0,630
