攻撃の名前,多段ヒットか,攻撃タイプ,威力,攻撃の重さ,アーマー,ノックバックの大きさ,上方向の力,発生フレーム,持続フレーム,半径,長さ,前進速度,前進フレーム,アニメーションの名前,次の攻撃の名前,攻撃の基準位置,キャンセルフレーム,ヒットストップフレーム,ヒットストップの揺れ,ヒットエフェクト,攻撃エフェクト,発生SE,ヒットSE,攻撃ボイス,パラメータ1,パラメータ2,パラメータ3,パラメータ4
Shot_15,TRUE,2,120,2,1,80,0,155,150,50,0,0,215,Shot,Shot_16,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_16,TRUE,2,120,2,1,80,0,155,150,50,0,0,215,Shot,Shot_17,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_17,TRUE,2,120,2,1,80,0,160,150,50,0,0,215,Shot,Shot_18,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_18,TRUE,2,120,2,1,80,0,160,150,50,0,0,215,Shot,Shot_19,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_19,TRUE,2,120,2,1,80,0,165,150,50,0,0,215,Shot,Shot_20,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_20,TRUE,2,120,2,1,80,0,165,150,50,0,0,215,Shot,Shot_21,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_21,TRUE,2,120,2,1,80,0,170,150,50,0,0,215,Shot,Shot_22,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_22,TRUE,2,120,2,1,80,0,170,150,50,0,0,215,Shot,Shot_23,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_23,TRUE,2,120,2,1,80,0,175,150,50,0,0,215,Shot,Shot_24,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_24,TRUE,2,120,2,1,80,0,175,150,50,0,0,215,Shot,Shot_25,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_25,TRUE,2,120,2,1,80,0,180,150,50,0,0,215,Shot,Shot_26,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_26,TRUE,2,120,2,1,80,0,180,150,50,0,0,215,Shot,Shot_27,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_27,TRUE,2,120,2,1,80,0,185,150,50,0,0,215,Shot,Shot_28,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_28,TRUE,2,120,2,1,80,0,190,150,50,0,0,215,Shot,Shot_29,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_29,TRUE,2,120,2,1,80,0,190,150,50,0,0,215,Shot,Shot_30,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
Shot_30,TRUE,2,120,2,1,80,0,200,150,50,0,0,215,Shot,Shot_31,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,67,30,0,0
Shot_31,FALSE,2,120,2,1,80,0,200,150,50,0,0,215,Shot,None,Owner,80,5,5,WhiteHit,EnemyBulletBlue,Shot,Hit1,Attack2,71,30,0,0
